token
BTJT2
EvtDXSec
EvtKPS
EvtNum
EvtProb
EvtVtx
EvtWght
EvtXSec
G4ID
GENIEEntry
GenieEvtRec
HITGT
HP121
HP873
HP875
HPTG1
HPTG2
HPTGT
HRNDIR
LM875A
LM875B
LM875C
M875BB
M875HM
M875HS
M875VM
M875VS
M876BB
M876HM
M876HS
M876VM
M876VS
MMBTBB
MTGTDS
NSLINA
NSLINB
NSLINC
NSLIND
PMTTimeDiff
RMS
SourceFileHash
StdHepFd
StdHepFm
StdHepLd
StdHepLm
StdHepN
StdHepP4
StdHepPdg
StdHepPolz
StdHepRescat
StdHepStatus
StdHepX4
THCURR
TOR101
TOR860
TOR875
TORTGT
TR101D
TRTGTD
Trigger
VITGT
VP121
VP873
VP875
VPTG1
VPTG2
VPTGT
XYZ
abs
allowed
angle
angles
barycenterFM
baseline
beam
bestScore
bestid
bestmatch
bestplane
bestscore
bjorkenX
bkg
bnbinfo
bwd
bwdP
calo
cat
ccnuescore
ccnumuscore
center
channel
charge
chargeCenter
chargeCenterXLocal
chargeQ
chargeTotal
chargeWidth
chgendfrac
chgfracspread
chi2
chi2pid
chisq
clear
cluster
cnnscore
complete
completeness
concentration
conicalness
cont
contained
conversion
cosmic
cosmicDist
cosmicscore
costh
count
covmx
crlongtrackdefl
crlongtrackdiry
crlongtrackhitfrac
crlongtrkdef
crlongtrkdiry
crlongtrkhitfrac
crmaxhits
crnhitsmax
crossX
crossY
crossZ
crosses
crthit
crtpmt
crtsbndtrack
crtspacepoint
crttrack
crumbs
cryo
cryoID
cryostat
cvn
dEdx
daughters
dazzle
dcy
decay
dedx
delta
deltaT
deltaX
deltaY
deltaZ
density
densityGradient
densityGradientPower
det
dif
diff
dir
distance
dqdx
eccqe
eff
efield
electronScore
end
endE
endT
endmichel
endp
energy
enter
err
event
evt
evtrec
exit
expChi2
fake
fasttototal
file
filled
filt
first
firstOpHitPeakTime
firstOpHitStartTime
firstpmt
firsttime
flashAsymmetry
flashCenter
flashClassification
flashFirstHit
flashGateTime
flashID
flashInBeam
flashInGate
flashPE
flashPEs
flashPosition
flashTime
flashWidth
flashYWidth
flashZWidth
flashtrig
flux
fmatch
fmatchara
fmatchop
fmatchopara
fmpe
fmtime
fmtotalscore
fno
frac
fraction
fwdP
gap
gate
gates
gen
genE
genT
genVersion
generator
genie
genp
genweight
global
gstatus
hadrons
halototratio
hdr
hip
hit
hita
hitb
hitnuc
hits
husk
hypoPE
idx
imp
index
inelasticityY
initpdg
integral
interaction
inttype
isblind
iscc
ischarm
ismc
isnc
isseaquark
isvtxcont
kaon
key
lab
len
length
lepton
lightCenter
lightPE
lightWidth
linfitdiff
linfitgaplen
linfitlen
linfitrms
map
matchedCRTHits
matches
max
mcsP
mctype
mean
measPE
mhl
michel
mip
mode
modq
mom
momentum
mult
muon
muonScore
nHits
name
nbnbinfo
nclusters
ncrt
ncrtpmt
ncscore
ndaughters
ndof
nelec
nfake
ngenevt
ngscore
nhad
nhit
nhitprim
nmatches
nneutron
nnu
nnumiinfo
noffbeambnb
noffbeamnumi
noise
nopflashes
npfp
npiminus
npiplus
npizero
nprim
nproton
nprtl
npts
nsbnd
nsec
nslc
nstub
ntrue
nuE
nueigen
nuescore
nufinalstatepfos
nufspfos
nuid
numiinfo
numucc
numuscore
nuniv
nusphereeigenratio
nuspherespacepoints
nusps
nutotalhits
nutothits
nuvertexy
nuvtxy
nuwgtdirz
onbeamtime
ontrack
open
openanglediff
opflashes
opt0
opt0measuredpe
opt0score
otherScore
overlapY
overlapZ
parent
particles
pass
pca2ratio
pca3ratio
pdg
pds
peakAmplitude
peakTime
peperwall
pfochar
pfp
pfpID
pfpid
phi
photonScore
pid
pida
pion
pionScore
pitch
plane
planeID
planes
points
pol0Chi2
pol0Fit
position
pot
present
prev
prim
primary
proc
process
prod
producer
proton
protonScore
prtl
pur
purity
radius
rangeP
ray
razzle
razzled
rec
reco
region
resnum
result
run
sbnd
scatter
scatterClosestApproach
score
scorePEToQ
scoreRR
scoreRatio
scoreSlope
scoreY
scoreZ
sec
seg
selVars
self
sem
shower
showerResiduals
shr
shw
slc
slcID
source
sourceIndex
sourceName
sourceNameHash
spacepoint
spacepoints
spill
spillbnbinfo
spillnumiinfo
spscore
sptime
start
startE
startT
startp
stdDev
stoppingChi2Fit
stoppingchi2ratio
stub
subevt
subrun
sumadc
sys
targetPDG
time
timemean
timesd
timewidth
tmatch
tof
totalpe
totarraysize
tpc
tpcID
track
trackLength
trackScore
trackWidth
tracks
trackscore
tracktime
triggerinfo
trk
trkpitch
true
truth
type
univ
value
vertex
visE
visEcosmic
visEinslc
visEintrk
vtx
vtxdist
wallin
wallout
weight
wgt
wgts
width
wire
wireID
wirePitch
within
xsec
