branch,v10_06_00_01p01,v10_06_00_04p04,n_files_present
recTree/rec.hdr.bnbinfo.MMBTBB..idx,1,1,2
recTree/rec.hdr.bnbinfo.MMBTBB..length,1,1,2
recTree/rec.hdr.bnbinfo.MMBTBB..totarraysize,1,1,2
recTree/rec.hdr.bnbinfo.MMBTBB_spill_time_diff,1,1,2
recTree/rec.hdr.bnbinfo.THCURR,1,1,2
recTree/rec.hdr.bnbinfo.TOR860,1,1,2
recTree/rec.hdr.bnbinfo.TOR875,1,1,2
recTree/rec.hdr.bnbinfo.VP875,1,1,2
recTree/rec.hdr.bnbinfo.VPTG1,1,1,2
recTree/rec.hdr.bnbinfo.VPTG2,1,1,2
recTree/rec.hdr.bnbinfo.event,1,1,2
recTree/rec.hdr.bnbinfo.spill_time_nsec,1,1,2
recTree/rec.hdr.bnbinfo.spill_time_sec,1,1,2
recTree/rec.hdr.cluster,1,1,2
recTree/rec.hdr.det,1,1,2
recTree/rec.hdr.evt,1,1,2
recTree/rec.hdr.first_in_file,1,1,2
recTree/rec.hdr.first_in_subrun,1,1,2
recTree/rec.hdr.fno,1,1,2
recTree/rec.hdr.husk,1,1,2
recTree/rec.hdr.isblind,1,1,2
recTree/rec.hdr.ismc,1,1,2
recTree/rec.hdr.mctype,1,1,2
recTree/rec.hdr.nbnbinfo,1,1,2
recTree/rec.hdr.ngenevt,1,1,2
recTree/rec.hdr.nnumiinfo,1,1,2
recTree/rec.hdr.noffbeambnb,1,1,2
recTree/rec.hdr.noffbeamnumi,1,1,2
recTree/rec.hdr.numiinfo..length,1,1,2
recTree/rec.hdr.numiinfo.HITGT,1,1,2
recTree/rec.hdr.numiinfo.HITGT..idx,1,1,2
recTree/rec.hdr.numiinfo.HITGT..length,1,1,2
recTree/rec.hdr.numiinfo.HITGT..totarraysize,1,1,2
recTree/rec.hdr.numiinfo.HP121,1,1,2
recTree/rec.hdr.numiinfo.HP121..idx,1,1,2
recTree/rec.hdr.numiinfo.HP121..length,1,1,2
recTree/rec.hdr.numiinfo.HP121..totarraysize,1,1,2
recTree/rec.hdr.numiinfo.HPTGT,1,1,2
recTree/rec.hdr.numiinfo.HPTGT..idx,1,1,2
recTree/rec.hdr.numiinfo.HPTGT..length,1,1,2
recTree/rec.hdr.numiinfo.HPTGT..totarraysize,1,1,2
recTree/rec.hdr.numiinfo.HRNDIR,1,1,2
recTree/rec.hdr.numiinfo.MTGTDS,1,1,2
recTree/rec.hdr.numiinfo.MTGTDS..idx,1,1,2
recTree/rec.hdr.numiinfo.MTGTDS..length,1,1,2
recTree/rec.hdr.numiinfo.MTGTDS..totarraysize,1,1,2
recTree/rec.hdr.numiinfo.NSLINA,1,1,2
recTree/rec.hdr.numiinfo.NSLINB,1,1,2
recTree/rec.hdr.numiinfo.NSLINC,1,1,2
recTree/rec.hdr.numiinfo.NSLIND,1,1,2
recTree/rec.hdr.numiinfo.TOR101,1,1,2
recTree/rec.hdr.numiinfo.TORTGT,1,1,2
recTree/rec.hdr.numiinfo.TR101D,1,1,2
recTree/rec.hdr.numiinfo.TRTGTD,1,1,2
recTree/rec.hdr.numiinfo.VITGT,1,1,2
recTree/rec.hdr.numiinfo.VITGT..idx,1,1,2
recTree/rec.hdr.numiinfo.VITGT..length,1,1,2
recTree/rec.hdr.numiinfo.VITGT..totarraysize,1,1,2
recTree/rec.hdr.numiinfo.VP121,1,1,2
recTree/rec.hdr.numiinfo.VP121..idx,1,1,2
recTree/rec.hdr.numiinfo.VP121..length,1,1,2
recTree/rec.hdr.numiinfo.VP121..totarraysize,1,1,2
recTree/rec.hdr.numiinfo.VPTGT,1,1,2
recTree/rec.hdr.numiinfo.VPTGT..idx,1,1,2
recTree/rec.hdr.numiinfo.VPTGT..length,1,1,2
recTree/rec.hdr.numiinfo.VPTGT..totarraysize,1,1,2
recTree/rec.hdr.numiinfo.daq_gates,1,1,2
recTree/rec.hdr.numiinfo.event,1,1,2
recTree/rec.hdr.numiinfo.spill_time_ns,1,1,2
recTree/rec.hdr.numiinfo.spill_time_s,1,1,2
recTree/rec.hdr.numiinfo.time,1,1,2
recTree/rec.hdr.pot,1,1,2
recTree/rec.hdr.proc,1,1,2
recTree/rec.hdr.run,1,1,2
recTree/rec.hdr.sourceIndex,1,1,2
recTree/rec.hdr.sourceName,1,1,2
recTree/rec.hdr.sourceName..length,1,1,2
recTree/rec.hdr.sourceNameHash,1,1,2
recTree/rec.hdr.spillbnbinfo.BTJT2,1,1,2
recTree/rec.hdr.spillbnbinfo.HP875,1,1,2
recTree/rec.hdr.spillbnbinfo.HPTG1,1,1,2
recTree/rec.hdr.spillbnbinfo.HPTG2,1,1,2
recTree/rec.hdr.spillbnbinfo.LM875A,1,1,2
recTree/rec.hdr.spillbnbinfo.LM875B,1,1,2
recTree/rec.hdr.spillbnbinfo.LM875C,1,1,2
recTree/rec.hdr.spillbnbinfo.M875BB,1,1,2
recTree/rec.hdr.spillbnbinfo.M875BB..length,1,1,2
recTree/rec.hdr.spillbnbinfo.M875BB_spill_time_diff,1,1,2
recTree/rec.hdr.spillbnbinfo.M876BB,1,1,2
recTree/rec.hdr.spillbnbinfo.M876BB..length,1,1,2
recTree/rec.hdr.spillbnbinfo.M876BB_spill_time_diff,1,1,2
recTree/rec.hdr.spillbnbinfo.MMBTBB,1,1,2
